#"Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
190.0000000001791,4597.272155761719,294.5563967349837
192.00000000018866,4626.5833740234375,275.0224943802368
194.0000000001982,4635.56396484375,280.7054218719504
196.00000000020776,4595.2462158203125,280.95406686101586
198.0000000002173,4650.938293457031,303.21010525880064
200.00000000022686,4608.372741699219,322.18590714963653
202.0000000002364,4675.51171875,315.6072389002393
204.00000000024596,4671.3885498046875,341.94745580432226
206.0000000002555,4711.8226318359375,321.1963122115656
208.00000000026506,4685.623779296875,314.0856635109853
210.0000000002746,4667.512023925781,288.00742244525327
212.00000000028416,4626.322692871094,314.47337940768927
214.0000000002937,4773.651611328125,300.1821362538076
216.00000000030326,4727.140625,292.37065455691624
218.0000000003128,4656.628173828125,314.8640605572065
220.00000000032236,4643.330383300781,278.50051299711913
222.0000000003319,4678.620849609375,282.23619813419907
224.00000000034146,4719.518615722656,318.16491014629
226.000000000351,4647.468811035156,311.9544710058107
228.00000000036056,4775.0545654296875,284.56687535613435
230.0000000003701,4623.822448730469,275.3714136346692
232.00000000037966,4716.427795410156,282.4907597221714
234.0000000003892,4682.9605712890625,303.7502854224372
236.00000000039876,4637.004455566406,315.7720145309311
238.0000000004083,4640.338806152344,315.89526091917156
240.00000000041786,4744.9747314453125,323.016900615008
242.0000000004274,4685.184387207031,318.6538699110497
244.00000000043696,4666.3719482421875,277.5052176297712
246.0000000004465,4782.6917724609375,279.91647085113794
248.00000000045605,4642.642761230469,295.05884124808415
250.0000000004656,4732.853271484375,325.5337562001582
252.00000000047515,4675.597412109375,288.4442811535207
254.0000000004847,4652.5604248046875,272.786292908902
256.00000000049425,4595.893615722656,308.36838652487984
258.0000000005038,4644.010498046875,288.75854744170596
260.00000000051335,4703.284362792969,295.7165778885853
262.0000000005229,4701.886901855469,309.50820161323225
264.00000000053245,4673.591003417969,314.24307138353936
266.000000000542,4654.8077392578125,314.7346365018457
268.00000000055155,4711.863952636719,299.74520358789823
270.0000000005611,4677.649475097656,297.32652331296225
272.00000000057065,4645.481689453125,303.0804890406071
274.0000000005802,4616.537536621094,292.20918853703387
276.00000000058975,4602.175598144531,325.2641576315361
278.0000000005993,4717.33740234375,290.53168505924464
280.00000000060885,4641.2216796875,279.0657727517212
282.0000000006184,4686.2474365234375,283.82036907552924
284.00000000062795,4684.029602050781,284.82493311001895
286.0000000006375,4700.102844238281,322.2829519362949
288.00000000064705,4639.794860839844,292.9227583959052
290.0000000006566,4658.1527099609375,298.70869611827715
292.00000000066615,4661.818359375,303.08719633594393
294.0000000006757,4714.069274902344,336.70455455600904
296.00000000068525,4747.9677734375,293.127275411333
298.0000000006948,4678.601257324219,277.54288965313856
300.00000000070435,4671.861572265625,310.52826464616516
302.0000000007139,4723.15380859375,283.2771141471442
304.00000000072345,4665.630187988281,312.87556245874373
306.000000000733,4671.1273193359375,317.39060357214885
308.00000000074255,4565.945556640625,293.2940958110504
310.0000000007521,4682.619323730469,288.6799191546649
312.00000000076164,4712.7667236328125,281.11301370160066
314.0000000007712,4591.1981201171875,275.3558888982748
316.00000000078074,4592.217102050781,277.25287693396143
318.0000000007903,4705.698547363281,307.4955671941058
320.00000000079984,4726.636474609375,291.52578997168325
322.0000000008094,4682.524230957031,306.74903239894695
324.00000000081894,4711.180419921875,316.8726617164915
326.0000000008285,4700.549987792969,322.8492917626638
328.00000000083804,4652.895690917969,316.00066924317446
330.0000000008476,4644.475158691406,311.8431373974982
332.00000000085714,4627.279479980469,297.17932791420725
334.0000000008667,4680.1663818359375,335.74500568638234
336.00000000087624,4614.420715332031,307.2078229871604
338.0000000008858,4622.385437011719,324.9587041141153
340.00000000089534,4551.108093261719,301.5715202619119
342.0000000009049,4668.8577880859375,296.7636775503478
344.00000000091444,4601.746520996094,317.81405837521794
346.000000000924,4719.23095703125,332.0799367937826
348.00000000093354,4719.1119384765625,306.9906941594146
350.0000000009431,4680.075439453125,289.5117609008943
352.00000000095264,4721.711669921875,307.42519957083596
354.0000000009622,4623.200134277344,303.0888523189601
356.00000000097174,4653.112609863281,302.5700081344072
358.0000000009813,4720.424133300781,306.9223202039763
360.00000000099084,4675.00244140625,293.7030909232414
362.0000000010004,4652.691955566406,310.26859172858326
364.00000000100994,4702.480712890625,281.52482636556704
366.0000000010195,4669.26171875,277.58210353255896
368.00000000102904,4613.365905761719,317.2484182728709
370.0000000010386,4738.007507324219,321.36069188508634
372.00000000104814,4665.512756347656,293.4570339495133
374.0000000010577,4724.43115234375,277.45599937358696
376.00000000106724,4767.641784667969,307.97972076336856
378.0000000010768,4619.857177734375,297.9138196502483
380.00000000108633,4699.172912597656,305.07988322726146
382.0000000010959,4648.6231689453125,291.100309868996
